customer_id,first_name,last_name,email,phone,date_of_birth,gender,country,city,zip_code,registration_date,segment,age,age_group
CUST-B321B890,Robert,Miller,user1@gmail.com,+1-438-617-1434,1961-09-13,OTHER,United Kingdom,Manchester,95181,2024-12-18 22:34:48,Churned,64,55+
CUST-74DC2643,Liam,Brown,user2@yahoo.com,+1-294-489-2584,1975-01-01,F,Japan,Yokohama,89131,2021-04-01 20:06:18,High Value,51,45-54
CUST-1E14AE53,Robert,Johnson,user3@email.com,+1-877-333-5741,1996-06-28,M,India,Delhi,23238,2022-03-27 00:15:57,Low Value,29,25-34
CUST-D25ABA1A,Sophia,Davis,user4@gmail.com,+1-367-573-7216,2003-04-05,F,India,Hyderabad,38785,2024-10-28 00:32:18,Low Value,22,18-24
CUST-DC61E9B3,Ava,Jackson,user5@yahoo.com,+1-858-569-3340,1975-08-03,F,United States,Los Angeles,42325,2023-10-11 02:38:31,Churned,50,45-54
CUST-695F27CD,John,Garcia,user6@email.com,+1-896-532-2040,1999-10-12,M,Canada,Calgary,88104,2022-12-25 04:19:44,Churned,26,25-34
CUST-D0BA84A1,Olivia,Garcia,user7@gmail.com,+1-664-103-5315,1997-08-24,OTHER,Canada,Montreal,76542,2019-11-27 14:33:57,Low Value,28,25-34
CUST-52FEE971,Emma,Taylor,user8@yahoo.com,+1-445-159-4946,1970-05-26,OTHER,France,Paris,21226,2023-02-18 22:04:30,High Value,55,55+
CUST-AF289FEC,Michael,Taylor,user9@email.com,+1-608-787-7118,1968-09-26,M,Germany,Frankfurt,69177,2020-01-11 22:43:37,Mid Value,57,55+
CUST-59331A3E,Liam,Williams,user10@gmail.com,+1-726-343-5562,1964-05-10,M,France,Lyon,80678,2020-02-16 01:53:10,Churned,61,55+
CUST-CC31667B,Amelia,Brown,user11@yahoo.com,+1-262-512-6559,1976-07-14,M,India,Delhi,35112,2020-08-13 23:00:14,Churned,49,45-54
CUST-643E7D80,Sophia,Smith,user12@email.com,+1-295-871-4872,1969-07-16,F,India,Chennai,73653,2023-02-04 12:41:07,Mid Value,56,55+
CUST-206EC4BB,Sophia,Martin,user13@gmail.com,+1-358-294-5861,1963-12-28,F,Japan,Tokyo,85914,2023-08-12 13:00:17,High Value,62,55+
CUST-07E808D1,Robert,Davis,user14@yahoo.com,+1-613-222-5033,1963-11-21,OTHER,Australia,Adelaide,15209,2024-04-08 08:25:58,High Value,62,55+
CUST-954A542A,William,Anderson,user15@email.com,+1-969-174-1152,1999-09-20,M,Japan,Sapporo,83792,2019-11-07 15:08:33,High Value,26,25-34
CUST-4EEE52DB,Isabella,Thompson,user16@gmail.com,+1-208-783-5905,1994-06-04,M,France,Lyon,44664,2019-12-25 14:59:06,High Value,31,25-34
CUST-435AD84E,Mary,Williams,user17@yahoo.com,+1-849-533-5533,1978-07-14,M,Germany,Berlin,53719,2020-02-11 10:37:14,Low Value,47,45-54
CUST-8601EE8D,Elijah,Young,user18@email.com,+1-351-540-3088,1990-01-24,M,Germany,Hamburg,57795,2019-05-04 22:46:38,Low Value,36,35-44
CUST-A58DFBE3,Jennifer,Garcia,user19@gmail.com,+1-622-125-3938,1976-12-24,F,France,Toulouse,97806,2021-02-10 00:41:26,Low Value,49,45-54
CUST-6073E5DD,Linda,Smith,user20@yahoo.com,+1-875-297-7528,1967-05-10,F,Germany,Hamburg,19099,2021-05-17 05:04:05,Low Value,58,55+
CUST-50E49F09,Emma,Anderson,user21@email.com,+1-646-720-9379,1996-06-27,M,Japan,Nagoya,85574,2020-08-13 13:18:02,Low Value,29,25-34
CUST-0E8BBA51,Amelia,Anderson,user22@gmail.com,+1-838-421-3041,1989-09-03,F,United States,Phoenix,50538,2024-09-02 23:08:20,New Customer,36,35-44
CUST-B83A6B29,Noah,Young,user23@yahoo.com,+1-200-411-5700,1987-05-20,F,Australia,Perth,86019,2024-02-28 19:57:54,Low Value,38,35-44
CUST-737EC218,Charlotte,Allen,user24@email.com,+1-543-195-4848,1990-01-23,F,India,Delhi,36100,2020-04-02 19:30:28,High Value,36,35-44
CUST-F9C7E9B6,Noah,Davis,user25@gmail.com,+1-351-771-1090,1976-08-29,M,United States,Houston,38683,2020-06-30 11:03:40,Churned,49,45-54
CUST-8E127885,William,Allen,user26@yahoo.com,+1-936-616-7991,1963-06-02,OTHER,India,Chennai,30861,2023-01-14 18:17:28,New Customer,62,55+
CUST-D4C737B3,Liam,Anderson,user27@email.com,+1-753-182-3267,1976-10-28,F,Canada,Montreal,60205,2024-11-26 00:38:55,Mid Value,49,45-54
CUST-6570D6CF,James,Walker,user28@gmail.com,+1-589-588-1096,1964-05-15,F,France,Marseille,61116,2022-07-25 20:29:28,Churned,61,55+
CUST-3605A627,John,Allen,user29@yahoo.com,+1-746-127-7455,1993-03-23,OTHER,France,Nice,96900,2019-03-26 04:52:31,High Value,32,25-34
CUST-D24575E4,Olivia,Wilson,user30@email.com,+1-283-581-1317,1969-03-26,OTHER,Japan,Tokyo,55870,2020-11-27 15:12:58,High Value,56,55+
CUST-F3022A93,David,Thomas,user31@gmail.com,+1-371-720-2876,1962-02-10,F,United States,Chicago,24168,2023-12-03 21:51:41,High Value,64,55+
CUST-AF6B1BA1,Barbara,Allen,user32@yahoo.com,+1-323-915-1672,1999-03-08,F,Canada,Ottawa,66148,2024-08-17 06:36:22,Low Value,26,25-34
CUST-A06765E7,John,White,user33@email.com,+1-380-851-9548,1994-06-06,F,United Kingdom,Glasgow,80539,2023-02-11 04:11:13,New Customer,31,25-34
CUST-4DD1E379,Noah,Anderson,user34@gmail.com,+1-229-606-6325,2000-04-26,F,Japan,Nagoya,37802,2022-01-07 09:40:00,Low Value,25,25-34
CUST-EB40F1B7,Linda,Martin,user35@yahoo.com,+1-861-828-9041,1979-01-11,M,Australia,Sydney,22196,2021-07-03 03:47:42,Mid Value,47,45-54
CUST-49786B5B,David,Taylor,user36@email.com,+1-457-336-2976,1976-07-22,F,Japan,Yokohama,25670,2023-07-23 20:54:46,Mid Value,49,45-54
CUST-B49C9FD4,Emma,Garcia,user37@gmail.com,+1-509-114-9751,1974-09-22,F,France,Marseille,15965,2019-06-19 09:45:16,Churned,51,45-54
CUST-AC10475F,David,Martin,user38@yahoo.com,+1-316-941-2070,1968-08-04,M,Canada,Calgary,19710,2023-11-28 17:48:56,High Value,57,55+
CUST-CF138699,Oliver,Jackson,user39@email.com,+1-661-553-5871,1970-02-25,OTHER,Germany,Cologne,50026,2023-11-02 16:05:10,Churned,56,55+
CUST-F1CA4138,Jennifer,Smith,user40@gmail.com,+1-618-561-8699,2001-06-26,F,United States,New York,40340,2021-06-14 02:39:26,Low Value,24,18-24
CUST-AECAAE68,Charlotte,Jones,user41@yahoo.com,+1-472-946-3330,1964-11-04,M,India,Mumbai,31747,2021-08-13 17:11:56,Churned,61,55+
CUST-1BBF8710,Olivia,Anderson,user42@email.com,+1-818-356-1423,1989-11-19,M,Canada,Montreal,98381,2023-11-23 01:57:14,Churned,36,35-44
CUST-9C2874F6,Ava,Williams,user43@gmail.com,+1-681-456-7690,1978-05-04,F,United States,Chicago,97835,2019-11-21 23:31:56,Mid Value,47,45-54
